"age" "white" "educ" "female" "party" "ideol" "income" "equality" "econ.sec" "moral.trad" "obama.app"
"1068" 3 1 4 0 4 4 16 5 1.5 1.5 0
"1070" 5 1 2 1 2 4 5 3 2 1 0
"1071" 4 1 4 1 2 2 9 2 5 3 0
"1072" 6 0 2 1 3 5 13 1 2 5 0
"1077" 2 1 4 1 6 5 11 3 2 1 4
"1079" 1 1 2 1 7 6 13 5 4 1 1
"1080" 3 1 4 1 5 5 17 2 5 3 1
"1081" 3 0 2 0 6 3 9 3 4 1 1
"1084" 3 1 4 0 5 6 12 5 3 1 4
"1089" 1 0 3 1 1 2 3 2 3 1 1
"1091" 6 1 2 1 4 4 11 1 3.5 2 3
"1092" 2 1 2 0 1 2 10 1 3 2 0
"1094" 3 1 3 0 4 4 12 4 3 1 3
"1097" 4 1 3 1 5 6 6 4 1 3 4
"1099" 2 1 3 0 3 4 16 4 1 3 3
"1101" 6 1 4 1 1 3 16 1.5 1.5 3.5 2
"1103" 4 1 2 0 5 4 4 4 3 2 4
"1104" 7 1 1 1 5 4 8 2 3 1 0
"1105" 4 1 2 1 6 4 13 3 2 1 1
"1106" 6 1 1 1 3 2 7 2 4 1 1
"1109" 4 1 3 0 1 2 12 1 3 5 1
"1110" 5 1 1 0 3 6 12 3 1.5 5 0
"1115" 5 1 3 1 4 4 10 2 2 2 2
"1116" 7 1 2 0 2 3 11 2 4 1 3
"1119" 2 0 2 0 7 4 12 5 4 1 4
"1120" 5 1 3 0 7 6 3 4 3 1.5 2
"1122" 2 0 2 0 5 4 9 4 1 2 3
"1129" 6 1 4 0 7 4 7 4 5 1 4
"1130" 2 1 2 1 3 4 11 4 1 5 3
"1131" 3 1 2 0 3 2 10 2 3 5 0
"1133" 6 1 2 1 2 4 8 3 1.5 4 0
"1134" 2 1 2 1 5 4 12 2 3 1 0
"1136" 4 1 4 1 6 6 16 3 2 1 4
"1137" 7 1 2 0 7 4 8 2 4 5 4
"1139" 7 1 4 0 7 7 19 4.5 1 2 1
"1141" 5 0 2 0 5 7 11 5 4 1 3
"1142" 3 1 4 0 1 2 19 2 1 3 0
"1143" 4 1 4 1 1 1 16 2 1 5 0
"1145" 5 1 1 1 5 4 5 2 3 1 4
"1146" 5 1 2 0 3 4 13 1 4 5 1
"1153" 1 1 2 0 5 3 8 2 3 1 2
"1155" 5 1 1 1 3 5 10 2 4 1 2
"1162" 4 1 2 0 3 4 7 3 4 2 0
"1163" 2 1 2 0 3 3 11 1 4 3 3
"1164" 1 1 2 0 2 4 7 1 3 2 4
"1167" 4 1 4 0 2 3 12 1 2 4.5 0
"1172" 3 0 3 1 5 7 9 3 2 1 4
"1173" 5 1 2 1 3 4 14 1 4 2 0
"1174" 5 1 3 0 2 4 15 1 4 2 2
"1175" 3 1 1 0 5 3 9 2 5 1 3
"1176" 5 1 2 0 6 5 7 3 2 1 3
"1177" 2 1 4 1 2 3 15 2 4 1 0
"1178" 5 0 3 0 7 4 9 3 4 2 3
"1179" 1 1 3 0 5 4 13 2 4 1 2
"1180" 4 0 4 1 7 4 8 2 5 1 4
"1181" 2 0 3 0 5 6 15 3 4.5 1.5 3
"1182" 5 1 1 0 4 4 2 1 4 2 4
"1183" 5 1 2 0 3 4 12 1 3 2 1
"1184" 4 0 1 1 7 4 15 3 5 4 4
"1187" 1 1 1 0 7 4 12 1.5 5 1.5 4
"1189" 2 0 4 1 6 4 16 5 3 2 4
"1190" 4 0 1 1 7 6 11 4 5 1 4
"1191" 5 0 2 1 2 2 7 2 1 3 2
"1192" 2 0 4 1 6 5 11 4 2 3 0
"1201" 1 0 1 0 5 2 5 1 4.5 2 3
"1203" 3 1 2 1 7 7 11 3 4 1 1
"1205" 3 1 4 1 1 2 17 3 1 2 1
"1206" 2 0 4 0 5 4 11 3 2 1 3
"1208" 6 1 4 1 7 6 7 2 3 4 2
"1211" 3 0 4 0 5 5 19 2 3 1 3
"1212" 1 1 4 0 2 4 13 4 2 1 3
"1213" 6 1 1 1 5 5 9 3.5 1 2 4
"1217" 4 1 4 0 3 2 16 1 3 2 3
"1220" 4 1 4 0 7 6 14 4 3 1 4
"1222" 5 1 1 1 6 4 7 2 5 1 4
"1223" 3 1 3 1 3 4 15 2 3 1 2
"1224" 2 0 2 1 6 6 8 2 4 1 1
"1225" 1 1 3 0 5 4 10 4 2 1 4
"1228" 5 1 3 0 3 3 16 3 4 2 3
"1230" 5 1 4 0 5 5 17 5 3 1 4
"1233" 5 1 3 1 2 3 14 1 3.5 2 0
"1235" 2 0 1 0 3 2 7 2 4 3 2
"1236" 5 1 4 1 3 3 15 2 3 1 2
"1238" 2 1 3 1 3 4 11 2 3 4 3
"1242" 5 0 1 1 1 2 14 1 4 4 0
"1245" 3 0 4 1 7 4 15 3 4 1.5 4
"1248" 5 1 1 1 1 2 4 1 2 3 0
"1250" 1 0 4 0 7 6 13 3 5 1 4
"1256" 2 0 2 1 2 6 6 1.5 4 1.5 3
"1257" 2 0 3 0 5 6 9 5 2 1 3
"1258" 4 0 1 0 7 4 11 2 4 2 3
"1260" 3 0 2 0 3 5 14 4.5 4.5 2 4
"1262" 2 0 1 0 7 4 3 5 2 1 4
"1264" 7 1 1 1 7 5 5 2 4 1 4
"1267" 1 0 2 1 3 2 1 4 5 1 2
