"Harm1"	"Harm2"	"Harm3"	"Harm4"	"Fair1"	"Fair2"	"Fair3"	"Fair4"	"Ingroup1"	"Ingroup2"	"Ingroup3"	"Ingroup4"	"Auth1"	"Auth2"	"Auth3"	"Auth4"	"Pure1"	"Pure2"	"Pure3"	"Pure4"
"70"	5	4	6	6	4	5	4	4	3	3	5	1	4	3	5	5	2	2	1	1
"71"	4	5	6	6	6	6	6	5	1	4	5	2	1	1	1	1	1	2	1	1
"72"	5	6	6	4	4	4	6	6	1	3	4	3	1	1	4	1	1	1	1	1
"73"	5	5	6	4	4	3	6	6	2	2	6	4	3	2	5	5	2	2	5	4
"74"	4	5	5	3	3	6	6	4	2	6	2	4	4	2	6	6	5	5	5	5
"75"	4	4	5	3	5	5	5	4	1	2	3	5	2	1	2	1	1	1	2	2
"76"	1	1	2	1	4	4	5	3	1	5	5	4	1	1	4	4	4	1	2	2
"77"	2	2	3	3	4	3	3	1	1	1	2	3	1	1	1	4	1	1	2	3
"78"	6	6	6	6	6	6	6	6	4	4	2	4	2	2	2	2	2	2	1	2
"79"	4	5	6	6	5	6	6	5	1	3	2	4	1	1	1	1	1	2	2	1
"80"	4	6	6	6	6	6	6	6	2	2	1	5	1	1	1	1	1	1	1	1
"81"	6	6	6	4	5	6	6	5	1	2	1	3	1	1	2	1	1	1	1	1
"82"	2	3	3	6	2	5	5	6	2	2	6	3	4	1	6	2	4	3	1	3
"83"	3	2	1	4	3	4	3	4	2	3	6	4	2	1	2	1	1	1	1	1
"84"	4	4	4	2	2	3	5	3	3	3	4	4	4	1	6	3	3	3	3	3
"85"	4	4	4	6	3	4	6	6	4	4	3	4	4	3	2	5	5	4	4	6
"86"	2	3	2	5	2	5	6	6	3	1	5	1	1	2	6	2	3	3	5	3
"87"	4	4	3	3	4	4	5	5	2	3	4	2	4	3	5	4	2	3	1	2
"88"	4	4	5	5	5	5	5	6	2	4	5	5	2	2	5	5	3	2	3	3
"89"	3	5	3	2	4	5	4	4	2	3	4	3	3	2	3	2	2	2	3	2
"90"	4	3	5	4	4	6	6	5	3	5	4	3	2	4	5	4	6	4	2	3
"91"	3	4	4	4	2	3	4	4	3	3	5	3	2	2	4	2	2	2	2	2
"92"	4	5	5	2	6	6	6	6	2	3	4	3	3	2	5	6	3	3	4	4
"93"	5	6	5	6	6	5	6	6	4	4	5	1	2	2	3	2	3	4	3	3
"94"	6	3	5	5	5	6	6	4	2	4	4	4	4	2	4	1	3	3	2	3
"95"	6	6	6	6	5	6	6	6	3	2	4	2	3	3	5	2	2	3	4	2
"96"	5	6	6	6	6	6	6	6	1	1	2	1	3	1	4	2	1	1	1	1
"97"	4	2	4	6	4	5	5	5	2	3	3	4	4	2	3	1	4	2	3	5
"98"	5	4	4	5	4	4	5	4	2	4	4	3	4	3	4	4	4	4	4	4
"99"	1	4	5	2	2	2	1	5	4	5	1	6	3	4	3	2	5	2	3	2
"100"	3	6	6	5	5	5	6	4	4	3	4	5	3	3	5	5	5	2	4	4
"101"	4	4	5	6	4	5	4	5	2	2	2	4	4	2	4	1	1	1	1	1
"102"	2	2	4	6	4	4	6	4	1	4	1	6	1	1	1	3	1	1	1	1
